"연번","미디어타입","제목","장소명","장소타입","장소설명","영업시간","브레이크타임","휴무일","주소","위도","경도","전화번호","최종작성일"
"9828","artist","신화","난드르깡통구이","restaurant","전진과 동완이 배틀트립에서 방문한 흑돼지 맛집","목-화 12시 - 22시","15시 - 17시","수요일","제주특별자치도 서귀포시 안덕면 대평감산로 14","33.235967","126.36683","064-738-7385","2022-11-18"
"9829","artist","신화","더클리프","restaurant","전진과 동완이 배틀트립에서 방문한 펍 겸 카페","평일 10시 - (익일) 01시, 주말 10시 - (익일) 02시","정보없음","연중무휴","제주특별자치도 서귀포시 중문관광로 154-17","33.244267","126.415002","064-738-8866","2022-11-18"
"9830","artist","신화","성읍랜드","playground","전진과 동완이 배틀트립에서 방문한 테마파크","매일 10시 - 17시 30분","정보없음","연중무휴","제주특별자치도 서귀포시 표선면 번영로 2650","33.398525","126.787606","064-787-5324","2022-11-18"
"9831","drama","심시일반","중림동약현성당","playground","5회에서 유인호(남문철)의 추모식이 이 성당에서 거행된다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 중구 청파로 447-1","37.559115","126.96744","02-362-1891","2022-11-25"
"9832","drama","싱어송라이터","와우산로22길","playground","싱어송라이터 강우진(강승윤)과 허나영(이노아)이 사는 곳이다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 마포구 와우산로22길 34","37.55098","126.9241","02-3153-8114","2022-11-25"
"9833","drama","싸우자 귀신아","국립교통재활병원","playground","12, 13회에서 김현지(김소현)은 이곳에서 치료를 받는다 다룬다.","평일 09시 - 16시 30분","12시 - 12시 30분","주말","경기도 양평군 양평읍 중앙로 260","37.4897334","127.518454","031-580-5555","2022-11-25"
"9834","drama","싸우자 귀신아","무명교","playground","박봉팔(옥택연)과 김현지(김소현)는  9회에서 이 다리를 건너고 있다.","매일 00시 - 24시","정보없음","연중무휴","경기도 파주시 탄현면 오금리","37.78882","126.6988","031-940-8081","2022-11-25"
"9835","drama","싸우자 귀신아","삼순이 계단","playground","8화에서 김현지 (김소현)는 계단 위에서 사라진다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 중구 남산공원길 649","37.554717","126.98177","02-3396-4114","2022-11-25"
"9836","drama","싸우자 귀신아","회현시민아파트","stay","이 아파트는 박봉팔(옥택연)이 있는 곳이다. 삼촌 스님 명철(김상호)과 유령 친구 김현지(김소현)와 함께 살고 있다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 중구 퇴계로8길 101","37.555689","126.98121","02-753-6368","2022-11-25"
"9837","drama","싸우자 귀신아","월미테마파크","playground","7회에서 현지(김소현)는 봉팔(택연)이 주관하는 모의고사에서 80%를 돌파하며 놀이공원에 가고 싶다는 소원을 빌었다. 봉팔은 내일 시험을 마치고 그녀를 데려가기로 했지만 오토바이에 치인 서연(백서이)을 병원으로 데려가느라 아쉽게도 현지를 만나지 못했다. 8화에서 봉팔은 그날 엑소시즘 공연을 마치고 현지를 놀이공원으로 데려가 현지와의 약속을 지킨다.","평일 10시 - 21시, 주말 10시 - 23시","정보없음","연중무휴","인천광역시 중구 월미문화로 81","37.471305","126.59629","032-761-0997","2022-11-25"
"9838","artist","싸이","한류 월드","playground","젠틀맨 뮤비 속 등장한 문화 단지","매일 00시 - 24시 ","정보없음","연중무휴","경기도 고양시 일산동구 장항동 1163","37.647893","126.75762","031-909-9000","2022-11-18"
"9839","artist","싸이","고양종합운동장","playground","싸이의 젠틀맨 뮤직비디오 장면 중 이곳 수영장에서 촬영되었습니다.","매일 00시 - 24시","정보없음","연중무휴","경기도 고양시 일산서구 중앙로 1601","37.67639","126.7431","031-929-4800","2022-11-25"
"9840","artist","싸이","원마운트","playground","싸이의 젠틀맨 뮤비에서 가인이 등장한 곳","평일 10시 - 22시","정보없음","연중무휴","경기도 고양시 일산서구 한류월드로 300","37.664347","126.754379","1566-2232","2022-11-18"
"9841","artist","싸이","유가장","restaurant","무한도전에서 노홍철과 싸이가 방문한 맛집","매일 11시 - 18시 ","14시 - 16시 30분","연중무휴","경기도 여주시 세종로46번길 17-1","37.293748","127.633915","031-884-1412","2022-11-18"
"9842","artist","싸이","수영만 요트 경기장","playground","싸이의 대디 뮤비 촬영 장소","매일 09시 - 22시","정보없음","연중무휴","부산광역시 해운대구 해운대해변로 84","35.159456","129.139712","051-741-6440","2022-11-18"
"9843","artist","싸이","인터컨티넨탈 서울 코엑스","playground","싸이의 젠틀맨 뮤직비디오 촬영지","매일 입실 15시, 퇴실 11시","정보없음","연중무휴","서울특별시 강남구 봉은사로 524","37.512502","127.058796","02-3452-2500","2022-11-18"
"9844","artist","싸이","10꼬르소꼬모 카페 청담점","cafe","젠틀맨 뮤비의 전반부가 촬영된 장소","매일 12시 - 21시","16시 30분 - 18시","연중무휴","서울특별시 강남구 압구정로 416","37.526893","127.042391","02-3018-1010","2022-11-18"
"9845","artist","싸이","마포대교","playground","젠틀맨 뮤비 속 화려한 분수 장소","매일 00시 - 24시","정보없음","연중무휴","서울특별시 영등포구 여의도동 84-5","37.533709","126.9367","02-2670-1451","2022-11-18"
"9846","artist","싸이","서울도서관","playground","싸이의 젠틀맨 뮤비 속 춤추던 장소","화-금 09시 - 21시, 주말 09시 - 18시","정보없음","월요일, 공휴일","서울특별시 중구 세종대로 110 ","37.566291","126.977931","02-2133-0300","2022-11-18"
"9847","artist","싸이","서울 광장","playground","가수 싸이가 무료 공연으로 8만 명이 몰린 곳","매일 00시 - 24시 ","정보없음","연중무휴","서울특별시 중구 을지로 12","37.565594","126.978025","02-1644-1060","2022-11-18"
"9848","artist","싸이","송도컨벤시아","playground","인천에 위치한 싸이 뮤직비디오 촬영지","매일 10시 - 17시","정보없음","연중무휴","인천광역시 연수구 센트럴로 123","37.389109","126.64613","032-210-1114","2022-11-18"
"9849","artist","싸이","국제업무지구역","station","싸이 '강남스타일' 뮤비에서 현아와 함께 춤을 추는 장소이다","매일 05시 - (익일) 01시","정보없음","연중무휴","인천광역시 연수구 인천타워대로 334","37.39981","126.6296","032-451-3188","2022-11-25"
"9850","artist","싸이","송도센트럴파크","playground","싸이의 강남 스타일의 배경이 된 곳","매일 00시 - 24시","정보없음","연중무휴","인천광역시 연수구 컨벤시아대로 160","37.3924167","126.639565","032-456-2968","2022-11-18"
"9851","artist","싸이","월미테마파크","playground","싸이가 힙합 가수 스눕 독과 방문 한 곳","평일 10시 - 21시, 주말 10시 - 23시","정보없음","연중무휴","인천광역시 중구 월미문화로 81","37.471305","126.59629","032-761-0997","2022-11-18"
"9852","drama","싸이코지만 괜찮아","후암동 43-45","stay","문강태(김수현)는 이사 오기 전에 이곳에 살고 있다","매일 00시 - 24시","정보없음","연중무휴","서울특별시 용산구 두텁바위로 135","37.5511","126.98138","02-2199-6114","2022-11-25"
"9853","drama","싸이코패스 다이어리","오릴리도넛","cafe","심보경(정인선) 부모님이 운영하는 카페 '심심한 날'로 등장한다. 육동식(윤시윤)은 아버지의 개 산책을 돕기 위해 이곳에 온다. 3화에서 동식이 내리는 가상의 '버스정류장'은 카페에서 조금 더 아래에 있다.","매일 10시 30분 - 22시","정보없음","연중무휴","경기도 고양시 일산동구 산두로 215","37.675336","126.7803","031-811-0808","2022-11-25"
"9854","drama","싸이코패스 다이어리","강남한우정육식당 양재본점","restaurant","주인공 아버지의 식당 '육군의 미트공화국'으로 등장한다. 1화에서는 동식이 기억을 잃었다는 사실을 알게 된 동식의 가족들이 이곳에서 긴급회의를 하게 된다.","매일 12시 - 22시","정보없음","1월1일, 명절","서울특별시 서초구 강남대로6길 5","37.4676717","127.0419565","02-579-5955","2022-11-25"
"9855","drama","싸이코패스 다이어리","성북동구포국수","restaurant","육동식(윤시윤)이 동료이자 친구인 박재와 함께 온다. 1회에서 재호(김기두)가 회사 스캔들로 자신도 모르게 희생양이 된 후 모습을 보였다. 재호는 동식에게 보고의 책임을 물으라고 애원한다.","월-토 11시 - 01시 30분","정보없음","일요일","서울특별시 성북구 성북로 52-1","37.592385","127.00264","02-744-0128","2022-11-25"
"9856","drama","싸이코패스 다이어리","바 다빈치","restaurant","11회에서 육동식은 서인우(박성훈)와 이 술집에서 만난다. 남자들이 이야기하고 동식은 절망에 빠져들자 인우는 동식에게 약을 먹이고 그에게서 빨간 일기장을 훔쳐 심보경(정인선)이 찾도록 술집에 심는다. . 12회에서 동식은 일기장을 들고 있던 보경과 마주한다. 이 장소는 10화에서도 인우가 술을 마시는 장면이 등장했다.","일-목 19시 - (익일) 02시, 금-토 19시 - (익일) 03시","정보없음","연중무휴","서울특별시 송파구 올림픽로32길 11 혜성빌딩 지하1층","37.515093","127.10918","0507-1367-6042","2022-11-25"
"9857","drama","싸이코패스 다이어리","자하슈퍼","store","육동식(윤시윤)이 런닝 후 목이 말라 비틀거리며 이 마트를 향한다, 심보경(정인선)이 지켜보는 가운데,","매일 09시 - 18시","정보없음","연중무휴","서울특별시 종로구 자하문로42길 57","37.600253","126.96281","02-394-2086","2022-11-25"
"9858","drama","싸이코패스 다이어리","파라다이스시티","stay","4화에서 서인우(박성훈)가 육동식(윤시윤)과 함께 이 재즈라운지를 찾아온다. 동식은 입구에서 멈춰 서지만 인우는 동식을 손짓한다.","매일 입실 15시, 퇴실 11시","정보없음","연중무휴","인천광역시 중구 영종해안남로321번길 186","37.437623","126.45597","1833-8855","2022-11-25"
"9859","drama","싸이코패스 다이어리","익산 교도소 세트장","playground","12, 13회에서 윤동식(윤시윤)이 살인 혐의를 모두 자백한 후 이 곳에 갇힌다.","화-일 09시 - 18시 (시기별 상이)","정보없음","월요일, 촬영일","전라북도 익산시 성당면 함낭로 207","36.069334","126.93158","063-859-3836","2022-11-25"
"9860","drama","쌈 마이웨이","아이앤씨테크놀로지","playground","7화에서 이 건물은 김주만(안재홍)이 일하는 회사로 나타난다.","매일 00시 - 24시","정보없음","연중무휴","경기도 성남시 분당구 판교로255번길 24","37.405082","127.10111","031-696-3300","2022-11-25"
"9861","drama","쌈 마이웨이","부산 한성주택","playground","쌈마이웨이에서 항상 나온 계단식주택가 골목","매일 00시 - 24시","정보없음","연중무휴","부산광역시 남구 문현동 산96-9","35.137028","129.076445","051-607-4817","2022-11-18"
"9862","drama","쌈 마이웨이","호천문화플랫폼","playground","쌈마이웨이에서 남일바로 나온 장소","매일 00시 - 24시","정보없음","연중무휴","부산광역시 부산진구 엄광로 491","35.144303","129.051203",,"2022-11-18"
"9863","drama","쌈 마이웨이","엘빈에비뉴라운지","restaurant","2회에서 최애라(김지원)의 결혼식이 끝나고 모두가 술을 마시러 가는 곳이다.","월-토 19시 - (익일) 03시","정보없음","일요일","서울특별시 강남구 강남대로92길 13","37.4990249","127.02849","0507-1314-9449","2022-11-25"
"9864","drama","쌈 마이웨이","앤드트리메타","playground","쌈 마이웨이 6회에서 술 취한 김탁수(김건우)가 이 곳에서 여자친구와 어울린다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 강남구 도산대로51길 19","37.5244126","127.037639",,"2022-11-25"
"9865","drama","쌈 마이웨이","루카511","restaurant","2회에서 이곳은 최애라(김지원)가 참석하는 결혼식이 진행되는 곳으로, 나타나지 않는 아나운서를 대신한다.","매일 11시 30분 - 22시","15시 30분 - 17시","연중무휴","서울특별시 강남구 도산대로81길 40","37.526961","127.04688","02-540-6640","2022-11-25"
"9866","drama","쌈 마이웨이","신정보리밥","restaurant","쌈마이웨이 1회에 나온 열무 보리밥 집","수-월 11시 - 20시","15시 - 17시","화요일","서울특별시 강북구 4.19로 41","37.647041","127.009799","02-907-7529","2022-11-18"
"9867","drama","쌈 마이웨이","서울김포공항 우리들병원","playground","15회에서 고동만(박서준)이 병원에서 치료를 받고 있다.","월,목-금 09시 30분 - 17시 30분, 화,수 09시 30분 - 20시, 토 09시 30분 - 13시","정보없음","일요일","서울특별시 강서구 하늘길 70","37.5619","126.7964","02-2660-7000","2022-11-25"
"9868","drama","쌈 마이웨이","와우산로22길","playground","4회에서 이 카페 앞 거리는 회상 장면이 나온 곳이다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 마포구 와우산로22길 34","37.55098","126.9241","02-3153-8114","2022-11-25"
"9869","drama","쌈 마이웨이","드림타워","playground","7-8회에서 고동만(박서준)은 낙심한 최애라(김지원)를 찾는다. 신발도 벗지 않은 채 이 건물 앞 벤치에 앉아 있다. 그녀가 편안하게 울 수 있도록 그녀의 얼굴에 스웨터를 던졌습니다. 그녀는 잘 울고 나서 일어서서 동만에게 그런 행동을 할 때마다 상처가 나기 때문에 그만하라고 말합니다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 마포구 월드컵북로56길 19","37.58222","126.8883",,"2022-11-25"
"9870","drama","쌈 마이웨이","곤밥","restaurant","쌈마이웨이에서 나온 가정집 분위기의 식당","월-토 16시 - 24시 ","정보없음","일요일","서울특별시 마포구 토정로 105","37.54516","126.92256","02-336-5157","2022-11-18"
"9871","drama","쌈 마이웨이","여의도 KBS방송국","playground","2화에서 고동만(박서준)은 친구의 부름을 받아 방송에서 누군가를 대신해 이곳으로 왔다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 영등포구 여의공원로 13","37.52563","126.91633","02-781-1000","2022-11-25"
"9872","drama","쌈 마이웨이","참샘골공원","playground","2회에서 최애라(김지원)와 고동만(박서준)이 김밥을 먹으러 이 공원에 온다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 종로구 평창동 470","37.614899","126.97453","02-2148-1114","2022-11-25"
"9873","drama","쌈 마이웨이","장충체육관","playground","쌈마이웨이에서 격투경기가 진행된 곳","매일 09시 - 24시","정보없음","연중무휴","서울특별시 중구 동호로 241","37.558206","127.00672","02-2128-2800","2022-11-18"
"9874","drama","쌈 마이웨이","서울도서관","playground","쌈마이웨이 3화에 나온 옥상정원의 장소","화-금 09시 - 21시, 주말 09시 - 18시","정보없음","월요일, 공휴일","서울특별시 중구 세종대로 110 ","37.566291","126.977931","02-2133-0300","2022-11-18"
"9875","drama","쌈 마이웨이","세종대로","playground","4회에서 고동만(박서준 분)이 직장을 그만두는 결정적인 결정을 내리는 곳은 바로 이 거리의 사거리에 있다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 중구 세종대로 86-1","37.563835","126.97677","02-3396-4114","2022-11-25"
"9876","drama","쌈 마이웨이","신세계백화점 본점","store","최애라(김지원)가 이곳에서 직원으로 일하고 있다.","매일 10시 30분 - 20시 30분","정보없음","연중무휴","서울특별시 중구 소공로 63","37.560999","126.98109","1588-1234","2022-11-25"
"9877","drama","쌈 마이웨이","서울로7017","playground","3화에서 박무빈(최우식)은 최애라(김지원)에게 반했고, 최애라에게 운동화를 선물하기로 결심한다. ","매일 00시 - 24시","정보없음","연중무휴","서울특별시 중구 청파로 432","37.556524","126.97375","02-313-7017","2022-11-25"
"9878","drama","쌈 마이웨이","가톨릭관동대학교 국제성모병원","playground","박무빈(최우식)이 일하는 곳입니다. 7회에서 최애라(김지원)가 치료를 받고, 무빈이 그녀에게 진짜 동의 없이 키스를 하고, 고동만(박서준)이 이를 목격한다.","평일 08시 30분 - 17시, 토 08시 30분 - 12시","평일만 12시 - 13시 30분","일요일","인천광역시 서구 심곡로100번길 25","37.542425","126.68384","1600-8291","2022-11-25"
"9879","drama","쌍갑포차","고석정","playground","4화에서 이 계곡은 '드림 월드'의 일부로 등장한다.","매일 11시 - 21시","정보없음","연중무휴","강원도 철원군 동송읍 태봉로 1825","38.186301","127.287536","033-450-5559","2022-11-25"
"9880","drama","쌍갑포차","좋은아침 연수원","playground","쌍갑포차 4회에서 나온 망자 운동회 장소","매일 00시 - 24시","정보없음","연중무휴","경기도 가평군 하면 상판리 291-2","37.886772","127.360827","031-584-3945","2022-11-18"
"9881","drama","쌍갑포차","서울대공원","playground","쌍갑포차 6회에서 나온 꿈 속 이야기","매일 09시 - 17시","정보없음","연중무휴","경기도 과천시 대공원광장로 102","37.427542","127.01701","02-500-7335","2022-11-18"
"9882","drama","쌍갑포차","서울대공원","playground","6회에서 채수경(이서안)의 임신을 돕기 위해 월주(황정음), 한강배(육성재), 귀과장(최원영)의 트리오가 동물원 호랑이를 설득한다.","매일 09시 - 17시","정보없음","연중무휴","경기도 과천시 대공원광장로 102","37.427542","127.01701","02-500-7335","2022-11-25"
"9883","drama","쌍갑포차","용인 대장금 파크","playground","1회에서 조선시대 왕세자 이헌(송건희)이 사는 궁궐의 일부이다.","하절기 매일 09시 - 18시, 동절기 매일 09시 - 17시","정보없음","연중무휴","경기도 용인시 처인구 백암면 용천드라마길 25","37.1209396","127.337296","031-337-3241","2022-11-25"
"9884","drama","쌍갑포차","약천사","playground","11회에서 이 사찰에 기도하러 온 귀부장/한강배(육성재)와 그가 떠날 때, 그는 자신을 기다리고 있는 월주(황정음)를 본다.","매일 03시 30분 - 20시","정보없음","연중무휴","경기도 파주시 교하로681번길 118","37.7057376","126.701279","031-942-1252","2022-11-25"
"9885","drama","쌍갑포차","뜰","cafe","이 카페에서 매니저 한강배(육성재)와 월주(황정음)가 만난다. 11회에서 녹차 한 잔을 마시며 500년 동안 간직한 옥반지를 드디어 그녀에게 건넸다. 같은 시간 동안 그를 미워하게 만든 오해를 마침내 풀고 난 뒤의 일이다.","화-일 11시 - 21시","정보없음","월요일","경기도 파주시 탄현면 요풍길 39-16","37.78161","126.6839","031-949-6580","2022-11-25"
"9886","drama","쌍갑포차","가온문화공원","playground","1화에서 월이우(황정음 분)가 운영하는 이 공원의 포차 세트장이 이 공원에 있다. 한강배(육성재 분)가 다가오는 트럭 앞에서 침착하게 걸어가는 송미란(박하나 분)과 마주치는 것도 이 공원에서다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 마포구 상암동 1594","37.58181","126.88765","02-3153-8114","2022-11-25"
"9887","drama","쌍갑포차","오라카이 송도파크호텔","playground","쌍갑포차 3회에서 '상일호텔'의 실제 장소","매일 입실 15시, 퇴실 11시","정보없음","연중무휴","인천광역시 연수구 테크노파크로 151","37.38809","126.6408","032-210-7000","2022-11-18"
"9888","drama","쌍갑포차","경암동 철길마을","playground","쌍갑포차 2회에서 고씨가 술 마시던 곳","매일 00시 - 24시","정보없음","연중무휴","전라북도 군산시 경촌4길 14","35.981291","126.737028","063-454-7556","2022-11-18"
"9889","drama","쌍갑포차","구룡마을 대나무숲","playground","쌍갑포차 3회에서 나온 대나무숲","매일 00시 - 24시","정보없음","연중무휴","전라북도 익산시 금마면 신용리 560","36.014599","127.046024","1577-0072","2022-11-18"
"9890","drama","쌍갑포차","성흥산 사랑나무","playground","왕세자 이혼(송건희)이 병에서 회복하고 있다. 이후 어린 월주(박시은)는 나무에서 생을 마감한다. 11화에서 세자는 월주를 위해 이 나무 아래에서 슬퍼하는 모습이 나온다.","매일 00시 - 24시","정보없음","연중무휴","충청남도 부여군 임천면 성흥로97번길 167","36.1971825","126.898347","041-830-2114","2022-11-25"
"9891","movie","써니","철도박물관","playground","MT 가는 기차의 배경이 되는 곳","하절기 화-일 09시 - 18시, 동절기 화-일 09시 - 17시","정보없음","월요일, 공휴일 다음날(주말인 경우는 개관)","경기도 의왕시 철도박물관로 142","37.316046","127.122293","031-461-3610","2022-11-18"
"9892","movie","써니","합천 영상 테마파크","playground","영화 속 길거리 등장 장면의 배경","화-일 09시 - 17시","정보없음","월요일","경상남도 합천군 용주면 합천호수로 757","35.5489346","128.072475","055-931-9303","2022-11-18"
"9893","movie","써니","안동하회마을 만송정 숲","playground","나미의 첫사랑과 수지의 키스 장소","매일 00시 - 24시","정보없음","연중무휴","경상북도 안동시 풍천면 하회리 1164-1","36.540139","128.515143","054-853-2005","2022-11-18"
"9894","movie","써니","정동길","playground","주인공 두 나미의 위로와 만남의 장소","매일 00시 - 24시","정보없음","연중무휴","서울특별시 중구 정동 30-1","37.566626","126.97089","02-3396-6500","2022-11-18"
"9895","movie","써니","제물포 시장","playground","극중 나이(심은경)가 빙의 한 곳","매일 00시 - 24시","정보없음","연중무휴","인천광역시 미추홀구 숭의동 27-58","37.463043","126.657309","032-728-6101","2022-11-18"
"9896","drama","써클: 이어진 두 세계","평창동 개인주택","stay","이곳은 한정연(공승연)의 집으로 등장하며, 그녀와 김우진(여진구)이 한교수의 서재에서 무언가를 찾기 위해 찾아온 곳이다.","매일 00시 - 24시","정보없음","연중무휴","서울특별시 종로구 평창동 566-22","37.609562","126.96388","02-2148-1114","2022-11-25"
"9897","drama","써클: 이어진 두 세계","트라이보울","playground","1회에서 스마트 어스에서 김준혁(김강우)이 살인 사건 해결과 그의 형제를 찾는다.","화-일 13시 - 18시","정보없음","월요일, 공휴일","인천광역시 연수구 인천타워대로 250","37.394084","126.63504","032-832-7992","2022-11-25"
"9898","drama","썸머가이즈","제주국제공항","playground","1회에서 선우찬(이정신)과 박광복(권현빈)이 공항에 도착합니다. ","매일 00시 - 24시","정보없음","연중무휴","제주특별자치도 제주시 공항로 2","33.506548","126.49304","1661-2626","2022-11-25"
"9899","artist","씨스타","비치대게","restaurant","씨스타도 체험한 속초 동명항 대게 맛집","매일 10시 - 21시 30분","정보없음","연중무휴","강원도 속초시 중앙로 260","38.212705","128.596552","033-635-5571","2022-11-18"
"9900","artist","씨스타","다솔가든산골식당","restaurant","다솜이 북한산 등반 후에 즐겨 찾는 닭백숙 맛집","매일 11시 - 22시","정보없음","연중무휴","경기도 고양시 덕양구 북한산로618번길 17","37.663939","126.949969","0507-1491-7728","2022-11-18"
"9901","artist","씨스타","참한간장게장 팔당직영점","restaurant","소유가 남한강을 배경으로 먹은 힐링 양념게장","매일 10시 30분 - 21시","평일만 16시 - 17시","연중무휴","경기도 남양주시 와부읍 다산로 71","37.539533","127.256979","031-577-7707","2022-11-18"
"9902","artist","씨스타","본수원갈비","restaurant","먹방 천재 소유가 정복한 수원의 3대 갈비 맛집","월-토 11시 30분 - 21시 30분, 일 11시 30분 - 21시","정보없음","연중무휴","경기도 수원시 팔달구 중부대로223번길 41","37.278051","127.040764","031-211-8434","2022-11-18"
"9903","artist","씨스타","순대지존","restaurant","소유가 순대 풀 코스를 즐겼던 수원의 순대곱창","매일 06시 - 23시","정보없음","연중무휴","경기도 수원시 팔달구 팔달문로 20, B동 1층 69호","37.27762","127.019645","031-255-0498","2022-11-18"
"9904","artist","씨스타","은행골 신사점","restaurant","보라가 즐겨 찾는다는 가로수길 초밥의 진수","월-토 11시 - 22시 30분","정보없음","일요일","서울특별시 강남구 강남대로152길 42 2층","37.517978","127.022739","02-3444-4988","2022-11-18"
"9905","artist","씨스타","현고대닭발 사당점","restaurant","소유가 열렬히 사랑하는 화끈한 단골 닭발","매일 17시 - (익일) 01시","정보없음","1, 3번째 일요일","서울특별시 동작구 동작대로23길 25","37.484046","126.980283","02-582-9399","2022-11-18"
"9906","artist","씨스타","전쟁과 여성인권 박물관","playground","소유가 뉴질랜드 모녀와 함께 방문했던 박물관","화-토 10시 - 18시","정보없음","월요일, 일요일","서울특별시 마포구 월드컵북로11길 20","37.560054","126.914847","02-392-5252","2022-11-18"
"9907","artist","씨스타","패닉이스케이프","playground","소유&보라가 다녀간 목동의 방탈출 카페","평일 15시 - 23시","정보없음","주말","서울특별시 양천구 신정중앙로 96","37.526196","126.862407","02-6408-5044","2022-11-18"
"9908","movie","아가씨","국민의숲길","playground","숙희가 물감과 이젤을 들고 올라오는 곳","매일 00시 - 24시","정보없음","연중무휴","강원도 평창군 대관령면 횡계리 14-362","37.681403","128.743108","033-330-2784","2022-11-18"
"9909","movie","아가씨","남양주 금선사","playground","영화 아가씨에서 스님이 돈을 건넬 때 나온 장소","매일 00시 - 24시","정보없음","연중무휴","경기도 남양주시 화도읍 북한강로 1095-208","37.615695","127.329724","031-591-9339","2022-11-18"
"9910","movie","아가씨","풍산개마을 입구","playground","영화 아가씨에서 저택을 향하는 길에 등장하는 장소","화-목 10시 - 19시, 금-일,공휴일 09시 - 19시 30분","정보없음","월요일","경기도 안성시 삼죽면 계곡길 89","37.087052","127.381356",,"2022-11-18"
"9911","movie","아가씨","벽초지수목원","playground","백작과 숙희가 은밀한 거래를 두고 다투는 곳","매일 09시 - 17시 30분","정보없음","연중무휴","경기도 파주시 광탄면 부흥로 242","37.800977","126.873712","0507-1421-2022","2022-11-18"
"9912","movie","아가씨","지노카페","cafe","영화 아가씨에서 백작과 히데코가 식사한 공간","화-일 12시 - 19시","정보없음","월요일(대관시 임시휴무)","경기도 파주시 탄현면 새오리로 211-31","37.800985","126.686346","031-949-8365","2022-11-18"
"9913","movie","아가씨","형도","playground","히데코와 숙희가 열심히 달리기 하는 갈대밭","매일 00시 - 24시","정보없음","연중무휴","경기도 화성시 송산면 독지리","37.274333","126.671683","1577-4200","2022-11-18"
"9914","movie","아가씨","서대문형무소역사관","playground","영화 아가씨에서 정신병원 씬으로 나왔던 곳","11-2월 화-일 09시 30분 - 17시, 3-10월 화-일 09시 30분 - 18시","정보없음","월요일","서울특별시 서대문구 통일로 251","37.574692","126.95649","02-360-8590","2022-11-18"
"9915","movie","아가씨","문화역서울284","playground","숙희와 히데코의 탈출문이 되는 장소","화-일 11시 - 19시","정보없음","월요일","서울특별시 중구 통일로 1 ","37.555944","126.971594","0507-1416-3501","2022-11-18"
"9916","movie","아가씨","소록도 중앙공원","playground","히데코의 이모가 목을 멘 나무가 있는 공원","매일 00시 - 24시","정보없음","연중무휴","전라남도 고흥군 도양읍 소록리 227","34.509985","127.121892","061-830-6495","2022-11-18"
"9917","movie","아가씨","변산반도 국립공원","playground","변태성욕자인 남작의 집으로 가는 길을 찍은 곳","매일 00시 - 24시","정보없음","연중무휴","전라북도 부안군 변산면","35.681146","126.531991","063-582-7808","2022-11-18"
"9918","movie","아가씨","수성당","playground","아가씨 1부 초반부 바닷가 옆 절벽장면 찍은 곳","11월~3월 매일 05시 - 18시, 4월~10월 매일 06시 - 19시 ","정보없음","연중무휴","전라북도 부안군 변산면 적벽강길 54","35.634848","126.460382","063-580-4386","2022-11-18"
"9919","movie","아가씨","괴산호","playground","영화 아가씨에서 보트타고 호수를 건너는 곳","매일 00시 - 24시","정보없음","연중무휴","충청북도 괴산군 청천면","36.753677","127.835418","043-832-4301","2022-11-18"
"9920","drama","아는 와이프","낙산 해수욕장","playground","우연한 기회에 차주혁(지성)이 서우진(한지민)과 함께 온다. 12회에서 이야기를 더 하고 추억을 되새기기 위해 다시 이 장소를 찾는다.","매일 00시 - 24시","정보없음","연중무휴","강원도 양양군 강현면 해맞이길 59","38.1164806","128.63426","033-670-2114","2022-11-25"
"9921","drama","아는 와이프","커피네츄럴스페셜티","cafe","13회에서 우진의 엄마(이정은)는 집 밖에서 차주혁(지성)을 이 카페로 데려온다. 그녀가그에게 제품을 판매합니다. 반면에 주혁은 그녀의 건강한 모습을 보고 기뻐하며 그녀의 제품을 사게 되어 기쁘다.","화-일 11시 - 21시","정보없음","월요일","경기도 고양시 덕양구 용현로53번길 16-1 1층","37.61768","126.8348","0507-1351-6233","2022-11-25"
"9922","drama","아는 와이프","위시티1단지후문.양일초교 정류장","station","이 버스 정류장은 차주혁(지성)과 서우진(한지민)이 함께 일하는 은행 근처에 있다.","매일 00시 - 24시","정보없음","연중무휴","경기도 고양시 일산동구 식사동","37.68362","126.8137","031-909-9000","2022-11-25"
"9923","drama","아는 와이프","일산문화광장","playground","회사 회식을 마친 후 차주혁(지성)과 서우진(한지민)은 이 공원 맞은편 쇼핑 거리를 걷는다. 그때 오토바이 운전자가 우진을 향해 돌진하고 주혁은 우진을 안전하게 끌어내기 위해 손을 뻗는다.","매일 00시 - 24시","정보없음","연중무휴","경기도 고양시 일산동구 중앙로 1271-4","37.65839","126.7704","031-909-9000","2022-11-25"
